t	dx	dy	dz	da	db	dc	
0.00715	1.00007	-4.37704e-07	6.80714e-12	2.26829e-08	1.99948	0.00035722	
0.0072	1.00007	-4.40885e-07	6.95938e-12	2.28478e-08	1.99948	0.000359751	
0.00725	1.00007	-4.44067e-07	7.11383e-12	2.30126e-08	1.99948	0.000362282	
0.0073	1.00007	-4.47248e-07	7.2705e-12	2.31775e-08	1.99948	0.000364814	
0.00735	1.00007	-4.50429e-07	7.4294e-12	2.33423e-08	1.99948	0.000367345	
0.0074	1.00007	-4.5361e-07	7.59056e-12	2.35072e-08	1.99948	0.000369877	
0.00745	1.00007	-4.56791e-07	7.75398e-12	2.3672e-08	1.99948	0.000372408	
0.0075	1.00007	-4.59972e-07	7.91968e-12	2.38369e-08	1.99948	0.000374939	
0.00755	1.00007	-4.63154e-07	8.08768e-12	2.40017e-08	1.99948	0.000377471	
0.0076	1.00007	-4.66335e-07	8.258e-12	2.41666e-08	1.99948	0.000380002	
0.00765	1.00007	-4.69516e-07	8.43064e-12	2.43315e-08	1.99948	0.000382534	
0.0077	1.00007	-4.72697e-07	8.60563e-12	2.44963e-08	1.99948	0.000385065	
0.00775	1.00007	-4.75878e-07	8.78298e-12	2.46612e-08	1.99948	0.000387596	
0.0078	1.00007	-4.79059e-07	8.9627e-12	2.4826e-08	1.99948	0.000390128	
0.00785	1.00007	-4.8224e-07	9.14482e-12	2.49909e-08	1.99948	0.000392659	
0.0079	1.00007	-4.85421e-07	9.32934e-12	2.51557e-08	1.99948	0.00039519	
0.00795	1.00007	-4.88603e-07	9.51629e-12	2.53206e-08	1.99948	0.000397722	
0.008	1.00007	-4.91784e-07	9.70567e-12	2.54854e-08	1.99948	0.000400253	
0.00805	1.00007	-4.94965e-07	9.8975e-12	2.56503e-08	1.99948	0.000402784	
0.0081	1.00007	-4.98146e-07	1.00918e-11	2.58151e-08	1.99948	0.000405316	
0.00815	1.00007	-5.01327e-07	1.02886e-11	2.598e-08	1.99948	0.000407847	
0.0082	1.00007	-5.04508e-07	1.04879e-11	2.61448e-08	1.99948	0.000410378	
0.00825	1.00007	-5.07689e-07	1.06897e-11	2.63097e-08	1.99948	0.00041291	
0.0083	1.00007	-5.1087e-07	1.0894e-11	2.64745e-08	1.99948	0.000415441	
0.00835	1.00007	-5.14051e-07	1.11009e-11	2.66394e-08	1.99948	0.000417972	
0.0084	1.00007	-5.17232e-07	1.13103e-11	2.68042e-08	1.99948	0.000420503	
0.00845	1.00007	-5.20413e-07	1.15223e-11	2.69691e-08	1.99948	0.000423035	
0.0085	1.00007	-5.23594e-07	1.1737e-11	2.71339e-08	1.99948	0.000425566	
0.00855	1.00007	-5.26775e-07	1.19542e-11	2.72988e-08	1.99948	0.000428097	
0.0086	1.00007	-5.29956e-07	1.2174e-11	2.74636e-08	1.99948	0.000430628	
0.00865	1.00007	-5.33137e-07	1.23965e-11	2.76285e-08	1.99948	0.00043316	
0.0087	1.00007	-5.36318e-07	1.26216e-11	2.77933e-08	1.99948	0.000435691	
0.00875	1.00007	-5.39499e-07	1.28494e-11	2.79582e-08	1.99948	0.000438222	
0.0088	1.00007	-5.4268e-07	1.30799e-11	2.8123e-08	1.99948	0.000440753	
0.00885	1.00007	-5.45861e-07	1.33131e-11	2.82878e-08	1.99948	0.000443284	
0.0089	1.00007	-5.49042e-07	1.3549e-11	2.84527e-08	1.99948	0.000445816	
0.00895	1.00007	-5.52223e-07	1.37877e-11	2.86175e-08	1.99948	0.000448347	
0.009	1.00007	-5.55404e-07	1.4029e-11	2.87824e-08	1.99948	0.000450878	
0.00905	1.00007	-5.58585e-07	1.42732e-11	2.89472e-08	1.99948	0.000453409	
0.0091	1.00007	-5.61766e-07	1.45201e-11	2.91121e-08	1.99948	0.00045594	
0.00915	1.00007	-5.64947e-07	1.47699e-11	2.92769e-08	1.99948	0.000458472	
0.0092	1.00007	-5.68128e-07	1.50224e-11	2.94417e-08	1.99948	0.000461003	
0.00925	1.00007	-5.71308e-07	1.52777e-11	2.96066e-08	1.99948	0.000463534	
0.0093	1.00007	-5.74489e-07	1.55359e-11	2.97714e-08	1.99948	0.000466065	
0.00935	1.00007	-5.7767e-07	1.5797e-11	2.99363e-08	1.99948	0.000468596	
0.0094	1.00007	-5.80851e-07	1.60609e-11	3.01011e-08	1.99948	0.000471127	
0.00945	1.00007	-5.84032e-07	1.63277e-11	3.0266e-08	1.99948	0.000473658	
