t	X	z11	Z	dz11	dZ	
5.11	2.83578e-17	-0.0044987	-0.0044987	0.0328329	0.0328329	
5.12	2.3136e-17	-0.00446618	-0.00446618	0.0322107	0.0322107	
5.13	3.43227e-17	-0.00443429	-0.00443429	0.0315708	0.0315708	
5.14	2.51307e-17	-0.00440305	-0.00440305	0.0309135	0.0309135	
5.15	3.34844e-17	-0.00437247	-0.00437247	0.0302391	0.0302391	
5.16	1.61023e-17	-0.00434258	-0.00434258	0.0295478	0.0295478	
5.17	3.2396e-17	-0.00431338	-0.00431338	0.0288398	0.0288398	
5.18	1.72211e-17	-0.00428491	-0.00428491	0.0281156	0.0281156	
5.19	3.26646e-17	-0.00425716	-0.00425716	0.0273753	0.0273753	
5.2	1.8291e-17	-0.00423016	-0.00423016	0.0266193	0.0266193	
5.21	3.05137e-17	-0.00420393	-0.00420393	0.0258478	0.0258478	
5.22	2.22135e-17	-0.00417848	-0.00417848	0.0250612	0.0250612	
5.23	3.34552e-17	-0.00415382	-0.00415382	0.0242598	0.0242598	
5.24	2.24646e-17	-0.00412996	-0.00412996	0.0234439	0.0234439	
5.25	3.9238e-17	-0.00410693	-0.00410693	0.0226139	0.0226139	
5.26	1.38828e-17	-0.00408474	-0.00408474	0.02177	0.02177	
5.27	3.65775e-17	-0.0040634	-0.0040634	0.0209126	0.0209126	
5.28	2.25177e-17	-0.00404292	-0.00404292	0.020042	0.020042	
5.29	3.78739e-17	-0.00402332	-0.00402332	0.0191587	0.0191587	
5.3	1.97081e-17	-0.00400461	-0.00400461	0.0182629	0.0182629	
5.31	3.41671e-17	-0.0039868	-0.0039868	0.017355	0.017355	
5.32	2.44723e-17	-0.00396991	-0.00396991	0.0164354	0.0164354	
5.33	3.25509e-17	-0.00395394	-0.00395394	0.0155044	0.0155044	
5.34	2.42906e-17	-0.00393891	-0.00393891	0.0145625	0.0145625	
5.35	3.57413e-17	-0.00392482	-0.00392482	0.0136099	0.0136099	
5.36	1.65862e-17	-0.00391169	-0.00391169	0.0126471	0.0126471	
5.37	3.4774e-17	-0.00389953	-0.00389953	0.0116744	0.0116744	
5.38	2.10366e-17	-0.00388835	-0.00388835	0.0106923	0.0106923	
5.39	3.81055e-17	-0.00387815	-0.00387815	0.0097011	0.0097011	
5.4	1.84695e-17	-0.00386895	-0.00386895	0.00870126	0.00870126	
5.41	3.19399e-17	-0.00386075	-0.00386075	0.00769314	0.00769314	
5.42	2.40266e-17	-0.00385357	-0.00385357	0.00667716	0.00667716	
5.43	3.53021e-17	-0.0038474	-0.0038474	0.00565372	0.00565372	
5.44	1.16147e-17	-0.00384226	-0.00384226	0.00462323	0.00462323	
5.45	3.71685e-17	-0.00383816	-0.00383816	0.0035861	0.0035861	
5.46	1.58179e-17	-0.00383509	-0.00383509	0.00254275	0.00254275	
5.47	3.76369e-17	-0.00383308	-0.00383308	0.0014936	0.0014936	
5.48	8.89699e-18	-0.00383211	-0.00383211	0.000439061	0.000439061	
5.49	3.4703e-17	-0.0038322	-0.0038322	-0.000620441	-0.000620441	
5.5	2.56137e-17	-0.00383335	-0.00383335	-0.00168448	-0.00168448	
5.51	3.59946e-17	-0.00383557	-0.00383557	-0.00275264	-0.00275264	
