t	theta1	theta2	psi	y	z	dtheta1	dtheta2	dpsi	ddtheta1	ddtheta2	ddpsi	Fsb12	Fsb13	Fb1b22	Fb1b23	Fb2d2	Fb2d3	Fsd3	
0.122	1.06035	0.133935	-0.0997857	2.12865	-0.156567	0.177531	0.279256	-1.62996	1.77616	1.83966	-13.1211	0	0	0	0	0	0	0	
0.123	1.06053	0.134219	-0.101448	2.128	-0.156924	0.179334	0.281063	-1.64306	1.78751	1.82601	-13.1123	0	0	0	0	0	0	0	
0.128	1.06145	0.135646	-0.109827	2.12469	-0.158733	0.188424	0.290013	-1.70849	1.84682	1.7552	-13.0679	0	0	0	0	0	0	0	
0.128889	1.06162	0.135902	-0.11135	2.12407	-0.159068	0.190084	0.291558	-1.72005	1.85802	1.74202	-13.0588	0	0	0	0	0	0	0	
0.13	1.06184	0.136227	-0.113269	2.12331	-0.159486	0.192154	0.293485	-1.73456	1.87223	1.72534	-13.0481	0	0	0	0	0	0	0	
0.13	1.06183	0.13623	-0.113271	2.12331	-0.159482	0.192136	0.293498	-1.73463	1.87218	1.72537	-13.049	0	0	0	0	0	0	0	
0.132	1.06222	0.136817	-0.11674	2.12193	-0.16024	0.195881	0.296949	-1.76072	1.89835	1.69477	-13.0295	0	0	0	0	0	0	0	
0.133	1.06242	0.137118	-0.118533	2.1212	-0.160638	0.197812	0.298606	-1.77373	1.9121	1.67893	-13.0182	0	0	0	0	0	0	0	
0.138	1.06343	0.138631	-0.127564	2.11752	-0.162648	0.207556	0.306792	-1.83865	1.98383	1.5969	-12.9608	0	0	0	0	0	0	0	
0.138889	1.06362	0.138902	-0.129202	2.11684	-0.163019	0.20934	0.308195	-1.85011	1.99731	1.58168	-12.9491	0	0	0	0	0	0	0	
0.14	1.06385	0.139246	-0.131266	2.11599	-0.163483	0.211567	0.309943	-1.8645	2.01443	1.56241	-12.9351	0	0	0	0	0	0	0	
0.14	1.06385	0.139249	-0.131268	2.116	-0.163479	0.211547	0.309957	-1.86458	2.01438	1.56243	-12.9361	0	0	0	0	0	0	0	
0.142	1.06427	0.139869	-0.134997	2.11446	-0.16432	0.215576	0.313082	-1.89045	2.04586	1.52712	-12.9106	0	0	0	0	0	0	0	
0.143	1.06449	0.140186	-0.136919	2.11365	-0.164759	0.217661	0.314565	-1.90333	2.06234	1.50889	-12.8959	0	0	0	0	0	0	0	
0.148	1.06561	0.141776	-0.146596	2.10959	-0.166982	0.228192	0.321871	-1.96759	2.14809	1.41464	-12.8209	0	0	0	0	0	0	0	
0.148889	1.06582	0.142059	-0.148348	2.10884	-0.167391	0.230125	0.32311	-1.97891	2.16414	1.39721	-12.8058	0	0	0	0	0	0	0	
0.15	1.06607	0.14242	-0.150555	2.1079	-0.167904	0.232539	0.324651	-1.99314	2.18451	1.37514	-12.7874	0	0	0	0	0	0	0	
0.15	1.06607	0.142423	-0.150558	2.10791	-0.167899	0.232517	0.324666	-1.99323	2.18448	1.37514	-12.7885	0	0	0	0	0	0	0	
0.152	1.06653	0.143073	-0.154544	2.10621	-0.168827	0.236886	0.327416	-2.01881	2.2219	1.33475	-12.7548	0	0	0	0	0	0	0	
0.153	1.06678	0.143404	-0.156595	2.10532	-0.169311	0.239155	0.3287	-2.03152	2.24142	1.31394	-12.7357	0	0	0	0	0	0	0	
0.158	1.068	0.145061	-0.16691	2.10085	-0.171755	0.25062	0.334999	-2.09492	2.34271	1.20662	-12.6371	0	0	0	0	0	0	0	
0.158889	1.06823	0.145357	-0.168775	2.10003	-0.172204	0.252728	0.336051	-2.10607	2.36158	1.18685	-12.6174	0	0	0	0	0	0	0	
0.16	1.06851	0.145731	-0.171123	2.099	-0.172767	0.255363	0.337357	-2.12009	2.38553	1.16182	-12.5932	0	0	0	0	0	0	0	
0.16	1.06851	0.145735	-0.171127	2.099	-0.172763	0.25534	0.337373	-2.12019	2.38552	1.1618	-12.5943	0	0	0	0	0	0	0	
0.162	1.06902	0.14641	-0.175367	2.09714	-0.173781	0.260111	0.339696	-2.14538	2.42945	1.11604	-12.5498	0	0	0	0	0	0	0	
0.163	1.06928	0.146753	-0.177544	2.09617	-0.174311	0.262595	0.340755	-2.15787	2.45227	1.09253	-12.5248	0	0	0	0	0	0	0	
0.168	1.07063	0.148468	-0.188488	2.09127	-0.176986	0.275158	0.345913	-2.22014	2.57035	0.971604	-12.395	0	0	0	0	0	0	0	
0.168889	1.07088	0.148772	-0.190463	2.09038	-0.177477	0.27747	0.346755	-2.23106	2.59224	0.949419	-12.3692	0	0	0	0	0	0	0	
0.17	1.07119	0.149158	-0.19295	2.08925	-0.178091	0.280364	0.347795	-2.24479	2.62001	0.921334	-12.3373	0	0	0	0	0	0	0	
0.17	1.07118	0.149163	-0.192954	2.08926	-0.178088	0.280339	0.347811	-2.24491	2.62004	0.921285	-12.3384	0	0	0	0	0	0	0	
0.172	1.07174	0.149859	-0.197444	2.08722	-0.1792	0.285579	0.349654	-2.26959	2.67088	0.870025	-12.2796	0	0	0	0	0	0	0	
0.173	1.07204	0.150211	-0.199744	2.08616	-0.179777	0.288314	0.35046	-2.2818	2.69719	0.843774	-12.2469	0	0	0	0	0	0	0	
0.178	1.07351	0.151971	-0.211304	2.08083	-0.182691	0.302144	0.354339	-2.34256	2.83281	0.709194	-12.0764	0	0	0	0	0	0	0	
0.178889	1.07379	0.152282	-0.213387	2.07986	-0.183223	0.304692	0.354947	-2.35318	2.85781	0.684629	-12.0429	0	0	0	0	0	0	0	
