t	ddtheta1	ddtheta2	ddpsi	ddy	ddz	
1.952	42.0527	-13.6846	-2.40163	-1.41841	-0.774881	
1.95556	41.1637	-13.3186	-2.76951	-1.62164	-0.885908	
1.96	40.3736	-12.9962	-3.07288	-1.80548	-0.986338	
1.96	40.6303	-13.0997	-2.98157	-1.77604	-0.970252	
1.968	39.3108	-12.5708	-3.42778	-2.0465	-1.11801	
1.972	38.8777	-12.4027	-3.5416	-2.11645	-1.15622	
1.992	37.2182	-11.8156	-3.68343	-2.20194	-1.20293	
1.99556	36.9662	-11.741	-3.63156	-2.1664	-1.18351	
2	36.8973	-11.7445	-3.49696	-2.08563	-1.13938	
2	37.0813	-11.8113	-3.47131	-2.07518	-1.13368	
2.008	37.0482	-11.8627	-3.15083	-1.88065	-1.02741	
2.012	37.1976	-11.9599	-2.90505	-1.73187	-0.946127	
2.032	38.2781	-12.6323	-1.18693	-0.69914	-0.381942	
2.03556	38.5414	-12.7961	-0.741352	-0.434776	-0.237519	
2.04	38.8988	-13.0074	-0.17594	-0.096802	-0.0528832	
2.04	38.9111	-13.0019	-0.22447	-0.122895	-0.0671378	
2.048	39.5257	-13.3804	0.907066	0.551289	0.301171	
2.052	39.8566	-13.5867	1.5921	0.956521	0.52255	
2.072	40.531	-14.2692	5.61707	3.3401	1.8247	
2.07556	40.3797	-14.2956	6.51532	3.88244	2.12099	
2.08	40.035	-14.257	7.58554	4.51786	2.46812	
2.08	40.0621	-14.2554	7.47516	4.43608	2.42344	
2.088	38.9636	-13.9929	9.45084	5.60839	3.06388	
2.092	38.0442	-13.7075	10.4607	6.21697	3.39634	
2.112	30.4468	-10.9962	15.0294	9.07114	4.95559	
2.11556	28.6603	-10.3116	15.6277	9.52937	5.20592	
2.12	26.1002	-9.31741	16.3562	10.0248	5.47658	
2.12	25.9423	-9.2601	16.4435	9.98769	5.4563	
2.128	20.9852	-7.29803	17.5167	10.7549	5.87541	
2.132	18.4488	-6.26357	17.764	11.0056	6.01239	
2.152	6.58561	-1.31744	18.0103	11.7419	6.41462	
2.15556	5.32761	-0.787526	17.8962	11.7954	6.44385	
2.16	3.11276	0.17305	17.5895	11.7744	6.4324	
2.16	2.26021	0.558019	17.5087	11.7383	6.41264	
2.168	-1.27168	2.11251	16.8926	11.6817	6.38175	
2.172	-2.61581	2.71436	16.4732	11.5997	6.33696	
2.192	-7.80828	5.06614	14.4993	11.2367	6.13861	
2.19556	-8.60141	5.41724	14.3207	11.2159	6.12725	
2.2	-9.23652	5.7091	13.8485	11.1185	6.07405	
2.2	-8.92853	5.58287	13.5881	11.0577	6.04086	
2.208	-9.80729	5.97681	12.7988	10.9241	5.96785	
2.212	-10.0921	6.09374	12.4223	10.854	5.92958	
2.232	-10.9413	6.36505	10.7136	10.5774	5.77845	
2.23556	-11.0697	6.39962	10.4584	10.539	5.7575	
2.24	-11.0984	6.36341	10.1163	10.4762	5.72316	
2.24	-10.9826	6.29411	10.0833	10.4622	5.71553	
2.248	-10.976	6.18449	9.49388	10.3485	5.6534	
2.252	-10.9443	6.10749	9.20922	10.2691	5.61002	
2.272	-10.657	5.59492	7.82968	9.78439	5.34524	
2.27556	-10.5934	5.49299	7.58504	9.67372	5.28478	
2.28	-10.5107	5.34979	7.28059	9.5074	5.19392	
2.28	-10.5094	5.33852	7.28327	9.49297	5.18604	
2.288	-10.3598	5.06757	6.73214	9.15048	4.99893	
2.292	-10.2859	4.93121	6.44261	8.92486	4.87567	
2.312	-9.9526	4.22907	4.93827	7.53906	4.11861	
2.31556	-9.89653	4.1088	4.65437	7.23944	3.95492	
2.32	-9.83883	3.95662	4.28772	6.82168	3.7267	
2.32	-9.84834	3.95314	4.28482	6.80325	3.71663	
2.328	-9.76039	3.68608	3.60823	5.98809	3.27131	
2.332	-9.71958	3.56463	3.2447	5.51485	3.01277	
2.352	-9.58527	3.018	1.36648	2.92826	1.59972	
2.35556	-9.56759	2.94083	1.03031	2.45171	1.33938	
2.36	-9.55267	2.84609	0.583904	1.79719	0.98181	
2.36	-9.55755	2.8408	0.562877	1.75056	0.956333	
2.368	-9.5415	2.68875	-0.242788	0.554561	0.302958	
2.372	-9.53275	2.63259	-0.654443	-0.0617304	-0.0337235	
2.392	-9.52021	2.43377	-2.64638	-3.02726	-1.6538	
2.39556	-9.52028	2.41734	-2.96011	-3.47684	-1.89941	
2.4	-9.51973	2.40291	-3.3855	-4.09576	-2.23752	
2.4	-9.51804	2.40186	-3.4275	-4.17107	-2.27867	
2.408	-9.51673	2.38907	-4.16333	-5.22098	-2.85224	
2.412	-9.5134	2.39792	-4.50973	-5.69513	-3.11126	
2.432	-9.49544	2.47243	-6.0594	-7.69275	-4.20257	
