t	xWAG	bWAG	
0.243	0.00259002	-0.00209272	
0.248	0.00259002	-0.00209272	
0.248889	0.00259001	-0.00209272	
0.25	0.00259001	-0.00209272	
0.25	0.00259002	-0.00209272	
0.241448	0.00259002	-0.00209272	
0.242171	0.00259002	-0.00209272	
0.24579	0.00259002	-0.00209272	
0.246434	0.00259002	-0.00209272	
0.247238	0.00259002	-0.00209272	
0.247238	0.00259002	-0.00209272	
0.247238	0.00259002	-0.00209272	
0.24779	0.00259002	-0.00209272	
0.248066	0.00259002	-0.00209272	
0.249448	0.00259002	-0.00209272	
0.249693	0.00259002	-0.00209272	
0.25	0.00259002	-0.00209272	
0.25	0.00259002	-0.00209272	
0.25	0.00259002	-0.00209272	
0.252	0.00259001	-0.00209272	
0.253	0.00259001	-0.00209272	
0.258	0.00259001	-0.00209272	
0.258889	0.00259001	-0.00209272	
0.26	0.00259001	-0.00209272	
0.26	0.00259001	-0.00209272	
0.26	0.00259001	-0.00209272	
0.262	0.00259001	-0.00209272	
0.263	0.00259001	-0.00209272	
0.268	0.00259	-0.00209271	
0.268889	0.00259	-0.00209271	
0.27	0.00259	-0.00209271	
0.27	0.00259	-0.00209271	
0.261444	0.00259001	-0.00209272	
0.262165	0.00259001	-0.00209272	
0.265774	0.00259001	-0.00209271	
0.266416	0.00259001	-0.00209271	
0.267218	0.00259	-0.00209271	
0.267218	0.00259001	-0.00209271	
0.267218	0.00259001	-0.00209271	
0.267774	0.00259	-0.00209271	
0.268052	0.00259	-0.00209271	
0.269444	0.00259	-0.00209271	
0.269691	0.00259	-0.00209271	
0.27	0.00259	-0.00209271	
0.27	0.00259	-0.00209271	
0.27	0.00259	-0.00209271	
0.272	0.00259	-0.00209271	
0.273	0.00259	-0.00209271	
0.278	0.00259	-0.00209271	
0.278889	0.00259	-0.00209271	
0.28	0.00259	-0.00209271	
0.28	0.00259	-0.00209271	
0.28	0.00259	-0.00209271	
0.282	0.00259	-0.00209271	
0.283	0.00259	-0.00209271	
0.288	0.00258999	-0.00209271	
0.288889	0.00258999	-0.00209271	
0.29	0.00258999	-0.00209271	
0.29	0.00258999	-0.00209271	
0.281447	0.00259	-0.00209271	
0.28217	0.00259	-0.00209271	
0.285786	0.00258999	-0.00209271	
0.286429	0.00258999	-0.00209271	
0.287233	0.00258999	-0.00209271	
0.287233	0.00258999	-0.00209271	
0.287233	0.00258999	-0.00209271	
0.287786	0.00258999	-0.00209271	
0.288063	0.00258999	-0.00209271	
0.289447	0.00258999	-0.00209271	
0.289693	0.00258999	-0.00209271	
0.29	0.00258999	-0.00209271	
0.29	0.00258999	-0.00209271	
0.29	0.00258999	-0.00209271	
0.292	0.00258999	-0.00209271	
0.293	0.00258999	-0.00209271	
0.298	0.00258999	-0.00209271	
0.298889	0.00258999	-0.00209271	
0.3	0.00258999	-0.0020927	
0.3	0.00258999	-0.0020927	
0.3	0.00258999	-0.0020927	
0.302	0.00258998	-0.0020927	
0.303	0.00258998	-0.0020927	
0.308	0.00258998	-0.0020927	
0.308889	0.00258998	-0.0020927	
0.31	0.00258998	-0.0020927	
0.31	0.00258998	-0.0020927	
0.301444	0.00258998	-0.0020927	
0.302166	0.00258998	-0.0020927	
0.305777	0.00258998	-0.0020927	
0.306419	0.00258998	-0.0020927	
0.307221	0.00258998	-0.0020927	
0.307221	0.00258998	-0.0020927	
0.307221	0.00258998	-0.0020927	
0.307777	0.00258998	-0.0020927	
0.308055	0.00258998	-0.0020927	
0.309444	0.00258998	-0.0020927	
0.309691	0.00258998	-0.0020927	
0.31	0.00258998	-0.0020927	
0.31	0.00258998	-0.0020927	
0.31	0.00258998	-0.0020927	
0.312	0.00258998	-0.0020927	
0.313	0.00258998	-0.0020927	
0.318	0.00258998	-0.0020927	
0.318889	0.00258997	-0.0020927	
0.32	0.00258997	-0.0020927	
0.32	0.00258997	-0.0020927	
0.32	0.00258997	-0.0020927	
0.322	0.00258997	-0.0020927	
0.323	0.00258997	-0.0020927	
0.328	0.00258997	-0.0020927	
0.328889	0.00258997	-0.0020927	
0.33	0.00258997	-0.0020927	
0.33	0.00258997	-0.0020927	
0.321446	0.00258997	-0.0020927	
0.322169	0.00258997	-0.0020927	
0.325784	0.00258997	-0.0020927	
0.326427	0.00258997	-0.0020927	
0.32723	0.00258997	-0.0020927	
0.32723	0.00258997	-0.0020927	
0.32723	0.00258997	-0.0020927	
0.327784	0.00258997	-0.0020927	
0.328061	0.00258997	-0.0020927	
0.329446	0.00258997	-0.0020927	
0.329692	0.00258997	-0.0020927	
0.33	0.00258997	-0.0020927	
0.33	0.00258997	-0.0020927	
0.33	0.00258997	-0.0020927	
0.332	0.00258997	-0.0020927	
0.333	0.00258997	-0.0020927	
0.338	0.00258997	-0.0020927	
0.338889	0.00258996	-0.0020927	
0.34	0.00258996	-0.00209269	
0.34	0.00258996	-0.0020927	
0.34	0.00258996	-0.0020927	
0.342	0.00258996	-0.00209269	
0.343	0.00258996	-0.00209269	
0.348	0.00258996	-0.00209269	
0.348889	0.00258996	-0.00209269	
0.35	0.00258996	-0.00209269	
0.35	0.00258996	-0.00209269	
0.341445	0.00258996	-0.00209269	
0.342167	0.00258996	-0.00209269	
0.345779	0.00258996	-0.00209269	
0.346421	0.00258996	-0.00209269	
0.347224	0.00258996	-0.00209269	
0.347224	0.00258996	-0.00209269	
0.347224	0.00258996	-0.00209269	
0.347779	0.00258996	-0.00209269	
0.348056	0.00258996	-0.00209269	
0.349445	0.00258996	-0.00209269	
0.349692	0.00258996	-0.00209269	
0.35	0.00258996	-0.00209269	
0.35	0.00258996	-0.00209269	
0.35	0.00258996	-0.00209269	
0.352	0.00258996	-0.00209269	
0.353	0.00258996	-0.00209269	
0.358	0.00258996	-0.00209269	
0.358889	0.00258996	-0.00209269	
0.36	0.00258996	-0.00209269	
0.36	0.00258996	-0.00209269	
0.36	0.00258996	-0.00209269	
0.362	0.00258996	-0.00209269	
0.363	0.00258996	-0.00209269	
0.368	0.00258995	-0.00209269	
0.368889	0.00258995	-0.00209269	
0.37	0.00258995	-0.00209269	
0.37	0.00258995	-0.00209269	
0.361446	0.00258996	-0.00209269	
0.362169	0.00258996	-0.00209269	
0.365783	0.00258995	-0.00209269	
0.366425	0.00258995	-0.00209269	
0.367228	0.00258995	-0.00209269	
0.367228	0.00258995	-0.00209269	
0.367228	0.00258995	-0.00209269	
0.367783	0.00258995	-0.00209269	
0.36806	0.00258995	-0.00209269	
0.369446	0.00258995	-0.00209269	
0.369692	0.00258995	-0.00209269	
0.37	0.00258995	-0.00209269	
0.37	0.00258995	-0.00209269	
0.37	0.00258995	-0.00209269	
0.372	0.00258995	-0.00209269	
0.373	0.00258995	-0.00209269	
0.378	0.00258995	-0.00209269	
0.378889	0.00258995	-0.00209269	
0.38	0.00258995	-0.00209269	
0.38	0.00258995	-0.00209269	
0.38	0.00258995	-0.00209269	
0.382	0.00258995	-0.00209269	
0.383	0.00258995	-0.00209269	
0.388	0.00258995	-0.00209269	
0.388889	0.00258995	-0.00209269	
0.39	0.00258994	-0.00209269	
0.39	0.00258995	-0.00209269	
0.381445	0.00258995	-0.00209269	
0.382167	0.00258995	-0.00209269	
0.38578	0.00258995	-0.00209269	
0.386422	0.00258995	-0.00209269	
0.387225	0.00258995	-0.00209269	
0.387225	0.00258995	-0.00209269	
0.387225	0.00258995	-0.00209269	
0.38778	0.00258995	-0.00209269	
0.388057	0.00258995	-0.00209269	
0.389445	0.00258995	-0.00209269	
0.389692	0.00258995	-0.00209269	
0.39	0.00258995	-0.00209269	
0.39	0.00258995	-0.00209269	
0.39	0.00258995	-0.00209269	
0.392	0.00258995	-0.00209269	
0.393	0.00258995	-0.00209269	
0.398	0.00258995	-0.00209269	
0.398889	0.00258995	-0.00209269	
0.4	0.00258994	-0.00209269	
0.4	0.00258995	-0.00209269	
0.4	0.00258995	-0.00209269	
0.402	0.00258994	-0.00209269	
0.403	0.00258994	-0.00209269	
0.408	0.00258994	-0.00209269	
0.408889	0.00258994	-0.00209268	
0.41	0.00258994	-0.00209268	
0.41	0.00258994	-0.00209269	
0.401445	0.00258994	-0.00209269	
0.402168	0.00258994	-0.00209269	
0.405782	0.00258994	-0.00209269	
0.406424	0.00258994	-0.00209269	
0.407227	0.00258994	-0.00209269	
0.407227	0.00258994	-0.00209269	
0.407227	0.00258994	-0.00209269	
0.407782	0.00258994	-0.00209269	
0.408059	0.00258994	-0.00209269	
0.409445	0.00258994	-0.00209269	
