t	a1	a2	da1	da2	
0.252	0.00811042	-0.00842574	0.0609294	-0.0610176	
0.253	0.00817167	-0.00848715	0.0610666	-0.0611681	
0.258	0.00847889	-0.00879479	0.0617796	-0.0619159	
0.258889	0.00853415	-0.00884974	0.061933	-0.0620461	
0.26	0.00860296	-0.00891879	0.0621011	-0.0622081	
0.26	0.00860258	-0.00891899	0.0620701	-0.0622084	
0.262	0.00872672	-0.00904341	0.0623753	-0.0624989	
0.263	0.00878948	-0.00910627	0.06254	-0.0626398	
0.268	0.00910445	-0.00942115	0.0633768	-0.0633391	
0.268889	0.00916128	-0.00947735	0.063537	-0.0634605	
0.27	0.00923193	-0.00954797	0.0637354	-0.0636116	
0.27	0.00923135	-0.00954817	0.0637265	-0.0636121	
0.272	0.0093588	-0.0096754	0.0640823	-0.063883	
0.273	0.00942333	-0.00973962	0.0642702	-0.0640139	
0.278	0.00974721	-0.0100612	0.0652071	-0.0646633	
0.278889	0.00980565	-0.0101186	0.0653689	-0.0647757	
0.28	0.0098784	-0.0101907	0.0655878	-0.0649157	
0.28	0.00987784	-0.0101909	0.0655997	-0.0649163	
0.282	0.010009	-0.0103207	0.0659894	-0.065167	
0.283	0.0100755	-0.0103862	0.066189	-0.0652877	
0.288	0.010409	-0.0107141	0.0671711	-0.0658858	
0.288889	0.0104691	-0.0107725	0.0673281	-0.065989	
0.29	0.0105441	-0.0108459	0.0675521	-0.0661174	
0.29	0.0105437	-0.0108462	0.0675784	-0.0661181	
0.292	0.0106789	-0.0109784	0.0679754	-0.066348	
0.293	0.0107473	-0.011045	0.0681723	-0.0664582	
0.298	0.0110906	-0.0113786	0.0691324	-0.0670036	
0.298889	0.0111522	-0.011438	0.0692787	-0.0670973	
0.3	0.0112293	-0.0115127	0.0694913	-0.0672139	
0.3	0.0112293	-0.0115129	0.0695229	-0.0672146	
0.302	0.0113683	-0.0116473	0.0698994	-0.0674232	
0.303	0.0114387	-0.011715	0.0700801	-0.0675226	
0.308	0.0117912	-0.0120538	0.0709574	-0.0680139	
0.308889	0.0118542	-0.0121141	0.0710888	-0.068098	
0.31	0.0119334	-0.0121899	0.0712769	-0.0682025	
0.31	0.0119336	-0.0121901	0.0713052	-0.0682031	
0.312	0.0120762	-0.0123265	0.0716387	-0.0683898	
0.313	0.0121483	-0.0123951	0.071794	-0.0684782	
0.318	0.012509	-0.0127385	0.072548	-0.0689145	
0.318889	0.0125732	-0.0127996	0.0726628	-0.0689888	
0.32	0.0126541	-0.0128764	0.0728192	-0.069081	
0.32	0.0126546	-0.0128766	0.0728377	-0.0690814	
0.322	0.0128002	-0.0130148	0.0731162	-0.069246	
0.323	0.0128737	-0.0130842	0.0732425	-0.0693232	
0.328	0.0132413	-0.0134317	0.0738594	-0.0697036	
0.328889	0.0133065	-0.0134935	0.0739586	-0.0697681	
0.33	0.0133888	-0.0135711	0.0740828	-0.0698478	
0.33	0.0133894	-0.0135713	0.0740886	-0.0698481	
0.332	0.0135376	-0.013711	0.0743113	-0.0699902	
0.333	0.0136122	-0.0137812	0.0744108	-0.0700561	
0.338	0.0139853	-0.0141322	0.0749031	-0.0703803	
0.338889	0.0140514	-0.0141946	0.0749895	-0.0704348	
0.34	0.0141349	-0.0142729	0.0750868	-0.0705019	
0.34	0.0141355	-0.0142732	0.0750804	-0.0705021	
0.342	0.0142856	-0.0144142	0.0752566	-0.0706216	
0.343	0.0143611	-0.014485	0.0753357	-0.0706762	
0.348	0.0147386	-0.0148389	0.0757343	-0.0709438	
0.348889	0.0148056	-0.0149018	0.0758116	-0.0709884	
0.35	0.0148899	-0.0149808	0.0758909	-0.0710429	
0.35	0.0148904	-0.014981	0.0758759	-0.071043	
0.352	0.0150421	-0.0151231	0.0760206	-0.0711398	
0.353	0.0151183	-0.0151944	0.0760878	-0.0711832	
0.358	0.0154995	-0.0155507	0.0764313	-0.0713941	
0.358889	0.0155672	-0.015614	0.0765029	-0.0714287	
0.36	0.0156523	-0.0156934	0.0765737	-0.0714706	
0.36	0.0156526	-0.0156937	0.0765553	-0.0714706	
0.362	0.0158057	-0.0158366	0.0766849	-0.0715448	
0.363	0.0158826	-0.0159083	0.0767479	-0.0715768	
0.368	0.016267	-0.0162664	0.0770715	-0.0717311	
0.368889	0.0163355	-0.01633	0.0771398	-0.0717556	
0.37	0.0164212	-0.0164098	0.0772098	-0.0717849	
0.37	0.0164213	-0.01641	0.0771933	-0.0717849	
0.372	0.0165757	-0.0165536	0.0773206	-0.0718365	
0.373	0.0166532	-0.0166255	0.0773847	-0.0718571	
0.378	0.0170409	-0.016985	0.0777117	-0.0719548	
0.378889	0.01711	-0.0170488	0.0777773	-0.0719691	
0.38	0.0171965	-0.0171287	0.0778505	-0.0719859	
0.38	0.0171965	-0.017129	0.0778398	-0.0719859	
0.382	0.0173522	-0.017273	0.0779717	-0.0720147	
0.383	0.0174303	-0.017345	0.0780389	-0.072024	
0.388	0.0178214	-0.0177052	0.0783762	-0.0720648	
0.388889	0.0178911	-0.017769	0.0784384	-0.0720691	
